ngram,freq,ant,joy,tru,fea,sur,sad,dis,ang,none,max.value,max.prop
돋아나/VV,1,0,0,0,1,0,0,0,0,0,fea,1
동/NNG,1,0,0,0,0,1,0,0,0,0,sur,1
뒤섞이/VV,1,0,0,0,0,0,0,0,0,1,none,1
뒷맛/NNG,1,0,0,0,0,0,1,0.5,0,0,sad,1
딱하/VA,2,0,0,0,0,0,1,0.5,0,0,sad,1
떨리/VV,1,1,0,0,0.5,0,0,0,0,0,ant,1
ㄹ/JKO,2,0,0,0,0,0,0,0,0,1,none,1
라니/EF,1,0,0,0,0,0,0,0,0,1,none,1
맛보/VV,2,0,0,0,0,0,0,0,0,1,none,1
목/NNG,1,0,0,0,0,0,0,0,0,1,none,1
목메/VV,1,0,0,0,0,0,1,0,0,0,sad,1
몸/NNG,7,0,0,0,0,0,0,0,0,1,none,1
몸서리치/VV,1,0,0,0,0,0,0,1,0,0,dis,1
못내/MAG,2,0,0,0,0,0,1,0,0,0,sad,1
뭐/IC,1,0,0,0,0,0,0,0,0,1,none,1
미워하/VV,1,0,0,0,0,0,0,1,0.5,0,dis,1
박장대소/NNG,1,0,1,0,0,0,0,0,0,0,joy,1
부끄럽/VA,2,0,0,0,0,0,1,0.5,0,0,sad,1
분노/NNG,3,0,0,0,0,0,0,0,1,0,ang,1
불만/NNG,2,0,0,0,0,0,0,0.5,1,0,ang,1
불안/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
불행감/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
비가/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
비관/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
비아냥/NNG,2,0,0,0,0,0,0,1,0.5,0,dis,1
사귀/VV,1,0,1,0.5,0,0,0,0,0,0,joy,1
사랑/NNG,21,0,1,0.5,0,0,0,0,0,0,joy,1
사로잡히/VV,1,0,0,0,0,0,0,0,0,1,none,1
상실감/NNG,2,0,0,0,0,0,1,0,0,0,sad,1
새/VV,2,1,0,0,0,0,0,0,0,0,ant,1
설레/VV,1,0.5,1,0,0,0,0,0,0,0,joy,1
숨소리/NNG,1,0,0,0,0,0,0,0,0,1,none,1
슬프/VA,1,0,0,0,0,0,1,0,0,0,sad,1
슬픔/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
시달리/VV,2,0,0,0,0,0,0,1,0.5,0,dis,1
신/NNG,6,0,1,0,0,0,0,0,0,0,joy,1
실로/MAG,2,0,0,0,0,0,0,0,0,1,none,1
싫어하/VV,1,0,0,0,0,0,0,1,0.5,0,dis,1
심회/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
썩이/VV,1,0,0,0,0,0,0,0,0,1,none,1
쏴아아/MAG,1,0,1,0,0,0,0,0,0,0,joy,1
쑥스럽/VA,2,0.5,1,0,0,0,0,0,0,0,joy,1
쓸쓸/XR,3,0,0,0,0,0,1,0,0,0,sad,1
씁쓸/XR,2,0,0,0,0,0,1,0.5,0,0,sad,1
아랑곳/NNG,2,0,0,0,0,0,0,0,0,1,none,1
아연/MAG,1,0,0,0,0.5,1,0,0,0,0,sur,1
악수/NNG,1,0,0,1,0,0,0,0,0,0,tru,1
안스럽/VA,1,0,0,0,0,0,1,0,0,0,sad,1
안절부절못하/VV,1,0,0,0,1,0,0,0,0,0,fea,1
안타까워하/VV,1,0,0,0,0,0,1,0,0,0,sad,1
안타깝/VA,2,0,0,0,0,0,1,0,0,0,sad,1
애끊/VV,1,0,0,0,0,0,1,0,0,0,sad,1
애닯/VA,1,0,0,0,0,0,1,0,0,0,sad,1
애타/VV,1,0,0,0,0,0,1,0,0,0,sad,1
약간/NNG,2,0,0,0,0,0,0,0,0,1,none,1
약혼/NNG,1,0,0,0,0,0,0,0,0,1,none,1
어쩌/VV,4,0,0,0,1,0,0,0,0,0,fea,1
언제/MAG,1,0,0,0,0,0,0,0,0,1,none,1
얼/VV,1,0,0,0,0,0,0,0,0,1,none,1
얼싸안/VV,1,0,1,0,0,0,0,0,0,0,joy,1
연발/NNG,1,0,0,0,0,0,0,0,0,1,none,1
열광/NNG,1,0,1,0.5,0,0,0,0,0,0,joy,1
외로움/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
우려/NNG,10,0,0,0,1,0,0,0,0,0,fea,1
우와/IC,1,0,0,0,0,1,0,0,0,0,sur,1
우정/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
울/VV,4,0,0,0,0,0,1,0,0,0,sad,1
웃/VV,2,0,1,0,0,0,0,0,0,0,joy,1
원한/NNG,1,0,0,0,0,0,0,0,1,0,ang,1
위기감/NNG,1,0,0,0,1,0,0,0,0,0,fea,1
유감/NNG,1,0,0,0,0,0,1,0,0.5,0,sad,1
의욕/NNG,2,1,0,0,0,0,0,0,0,0,ant,1
이*/JKS,1,0,0,0,0,0,0,0,0,1,none,1
이루/MAG,2,0,0,0,0,0.5,1,0,0,0,sad,1
이리/MAG,1,0.66666667 ,0.33333333 ,0,0,0,0,0,0,0,ant,1
인간애/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
자긍/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
자긍심/NNG,1,0,0.5,1,0,0,0,0,0,0,tru,1
자랑스레/MAG,1,0,1,0.5,0,0,0,0,0,0,joy,1
장난/NNG,1,0,1,0,0,0,0,0,0,0,joy,1
재미있/VA,4,0,1,0,0,0,0,0,0,0,joy,1
저하/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
전혀/MAG,5,0,0,1,0,0,0,0,0,0,tru,1
절망/NNG,3,0,0,0,0,0,1,0,0,0,sad,1
절망감/NNG,1,0,0,0,0,0,1,0,0,0,sad,1
정말/MAG,4,0.5,1,0,0,0,0,0,0,0,joy,1
젖/VV,1,0,0,0,0,0,0,0,0,1,none,1
조건/NNG,2,0,0,0,0,0,0,0,0,1,none,1
즐거움/NNG,2,0,1,0,0,0,0,0,0,0,joy,1
즐겁/VA,4,0,1,0,0,0,0,0,0,0,joy,1
